"Date","activity"
"2004-01-04",-1.1245
"2004-01-11",-1.18
"2004-01-18",-1.176
"2004-01-25",-1.138
"2004-02-01",-1.2155
"2004-02-08",-1.178
"2004-02-15",-1.1715
"2004-02-22",-1.2105
"2004-02-29",-1.1535
"2004-03-07",-0.975
"2004-03-14",-1.0645
"2004-03-21",-0.9705
"2004-03-28",-0.9955
"2004-04-04",-1.002
"2004-04-11",-0.956
"2004-04-18",-0.915
"2004-04-25",-0.8825
"2004-05-02",-0.8635
"2004-05-09",-0.909
"2004-05-16",-0.8685
"2004-05-23",-0.8065
"2004-05-30",-0.78
"2004-06-06",-0.7705
"2004-06-13",-0.779
"2004-06-20",-0.758
"2004-06-27",-0.6975
"2004-07-04",-0.6715
"2004-07-11",-0.6905
"2004-07-18",-0.7385
"2004-07-25",-0.7665
"2004-08-01",-0.798
"2004-08-08",-0.827
"2004-08-15",-0.8255
"2004-08-22",-0.8585
"2004-08-29",-0.878
"2004-09-05",-0.9255
"2004-09-12",-0.9915
"2004-09-19",-0.9775
"2004-09-26",-0.9435
"2004-10-03",-1.016
"2004-10-10",-1.046
"2004-10-17",-1.1375
"2004-10-24",-1.179
"2004-10-31",-1.181
"2004-11-07",-1.129
"2004-11-14",-1.182
"2004-11-21",-1.1465
"2004-11-28",-1.2205
"2004-12-05",-1.2525
"2004-12-12",-1.259
"2004-12-19",-1.198
"2004-12-26",-1.1455
"2005-01-02",-1.1945
"2005-01-09",-1.18
"2005-01-16",-1.1775
"2005-01-23",-1.1795
"2005-01-30",-1.095
"2005-02-06",-1.1475
"2005-02-13",-1.1605
"2005-02-20",-1.1345
"2005-02-27",-1.1295
"2005-03-06",-1.05
"2005-03-13",-1.07
"2005-03-20",-0.993
"2005-03-27",-0.9925
"2005-04-03",-0.8625
"2005-04-10",-0.899
"2005-04-17",-0.8915
"2005-04-24",-0.8945
"2005-05-01",-0.762
"2005-05-08",-0.7975
"2005-05-15",-0.816
"2005-05-22",-0.7345
"2005-05-29",-0.669
"2005-06-05",-0.703
"2005-06-12",-0.6775
"2005-06-19",-0.623
"2005-06-26",-0.6045
"2005-07-03",-0.578
"2005-07-10",-0.641
